Date,Open,High,Low,Close,Adj Close,Volume
2015-08-24,5.550000,5.620000,5.460000,5.520000,4.233708,504027820
2015-08-25,5.550000,5.640000,5.340000,5.460000,4.187690,536991041
2015-08-26,5.500000,5.590000,5.370000,5.380000,4.126332,467455944
2015-08-27,5.600000,5.600000,5.480000,5.580000,4.279727,479202744
2015-08-28,5.800000,5.800000,5.360000,5.370000,4.118662,434851944
2015-08-31,5.420000,5.490000,5.360000,5.450000,4.180020,378111776
2015-09-01,5.450000,5.470000,5.330000,5.340000,4.095653,358870747
2015-09-02,5.300000,5.310000,5.170000,5.260000,4.034295,409272394
2015-09-04,5.260000,5.300000,5.110000,5.140000,3.942257,361737589
2015-09-07,5.080000,5.230000,5.050000,5.060000,3.880899,291545647
2015-09-08,5.060000,5.300000,5.020000,5.210000,3.995945,426843109
2015-09-09,5.330000,5.530000,5.310000,5.500000,4.218369,469133320
2015-09-10,5.390000,5.430000,5.300000,5.360000,4.110992,293243389
2015-09-11,5.340000,5.510000,5.340000,5.410000,4.149341,293748017
2015-09-14,5.490000,5.510000,5.370000,5.420000,4.157011,189531181
2015-09-15,5.420000,5.480000,5.390000,5.430000,4.164680,168724461
2015-09-16,5.490000,5.650000,5.460000,5.560000,4.264388,355317445
2015-09-17,5.620000,5.680000,5.520000,5.560000,4.264388,284587214
2015-09-18,5.530000,5.640000,5.530000,5.580000,4.279727,251954155
2015-09-21,5.460000,5.540000,5.410000,5.530000,4.241378,249700198
2015-09-22,5.510000,5.570000,5.420000,5.440000,4.172351,225826897
2015-09-23,5.390000,5.390000,5.200000,5.310000,4.072644,436431913
2015-09-24,5.310000,5.330000,5.200000,5.220000,4.003616,350581198
2015-09-25,5.200000,5.300000,5.200000,5.240000,4.018956,280228976
2015-09-29,5.050000,5.120000,5.040000,5.100000,3.911578,457157715
2015-09-30,5.130000,5.220000,5.110000,5.150000,3.949927,354305937
2015-10-02,5.170000,5.300000,5.170000,5.270000,4.041965,320161106
2015-10-05,5.360000,5.380000,5.310000,5.340000,4.095653,229539267
2015-10-06,5.430000,5.430000,5.270000,5.330000,4.087983,229532273
2015-10-07,5.330000,5.610000,5.300000,5.590000,4.287397,431534641
2015-10-08,5.620000,5.620000,5.490000,5.580000,4.279727,276617235
2015-10-09,5.650000,5.800000,5.640000,5.660000,4.341085,397228481
2015-10-12,5.690000,5.780000,5.680000,5.730000,4.394773,261662369
2015-10-13,5.780000,5.780000,5.620000,5.670000,4.348754,264959229
2015-10-14,5.600000,5.670000,5.550000,5.590000,4.287397,211055220
2015-10-15,5.650000,5.750000,5.630000,5.700000,4.371764,236566423
2015-10-16,5.800000,5.850000,5.730000,5.750000,4.410113,259587116
2015-10-19,5.700000,5.780000,5.700000,5.760000,4.417783,192829320
2015-10-20,5.720000,5.800000,5.680000,5.780000,4.433122,184136327
2015-10-22,5.750000,5.800000,5.720000,5.790000,4.440792,214185163
2015-10-23,5.870000,5.870000,5.820000,5.850000,4.486810,235241708
2015-10-26,5.950000,5.950000,5.780000,5.830000,4.471471,224933548
2015-10-27,5.830000,5.840000,5.710000,5.830000,4.471471,244878849
2015-10-28,5.770000,5.820000,5.700000,5.720000,4.387103,197701499
2015-10-29,5.760000,5.780000,5.630000,5.680000,4.356425,252213314
2015-10-30,5.690000,5.710000,5.620000,5.630000,4.318076,257608695
2015-11-02,5.550000,5.650000,5.530000,5.550000,4.256718,267571855
2015-11-03,5.630000,5.650000,5.560000,5.570000,4.272058,215226675
2015-11-04,5.620000,5.850000,5.620000,5.730000,4.394773,417047126
2015-11-05,5.730000,5.780000,5.700000,5.720000,4.387103,222658467
2015-11-06,5.660000,5.690000,5.590000,5.630000,4.318076,270136992
2015-11-09,5.570000,5.700000,5.560000,5.590000,4.287397,230127011
2015-11-10,5.520000,5.570000,5.480000,5.500000,4.218369,303995333
2015-11-11,5.490000,5.500000,5.440000,5.470000,4.195359,182357166
2015-11-12,5.490000,5.640000,5.470000,5.600000,4.295066,272912641
2015-11-13,5.490000,5.510000,5.420000,5.440000,4.172351,333960631
2015-11-16,5.290000,5.390000,5.290000,5.340000,4.095653,242185539
2015-11-17,5.390000,5.510000,5.370000,5.390000,4.134002,267289356
2015-11-18,5.400000,5.450000,5.380000,5.400000,4.141671,127760485
2015-11-19,5.490000,5.550000,5.480000,5.540000,4.249048,214842389
2015-11-20,5.540000,5.620000,5.490000,5.590000,4.287397,180875187
2015-11-23,5.600000,5.620000,5.530000,5.540000,4.249048,172379028
2015-11-24,5.540000,5.540000,5.420000,5.480000,4.203029,222765774
2015-11-25,5.430000,5.470000,5.390000,5.420000,4.157011,304162715
2015-11-26,5.480000,5.520000,5.420000,5.440000,4.172351,160052007
2015-11-27,5.450000,5.450000,5.350000,5.360000,4.110992,320935869
2015-11-30,5.310000,5.390000,5.270000,5.330000,4.087983,547768193
2015-12-01,5.340000,5.460000,5.300000,5.380000,4.126332,350137279
2015-12-02,5.380000,5.430000,5.350000,5.400000,4.141671,375773792
2015-12-03,5.350000,5.430000,5.350000,5.400000,4.141671,220535249
2015-12-04,5.350000,5.380000,5.310000,5.330000,4.087983,252634374
2015-12-07,5.360000,5.390000,5.310000,5.320000,4.080314,176011356
2015-12-08,5.280000,5.300000,5.210000,5.270000,4.041965,285471117
2015-12-09,5.230000,5.270000,5.200000,5.210000,3.995945,152887293
2015-12-10,5.170000,5.260000,5.160000,5.200000,3.988276,290686425
2015-12-11,5.200000,5.230000,5.150000,5.160000,3.957597,181528218
2015-12-14,5.050000,5.170000,5.050000,5.130000,3.934588,243287369
2015-12-15,5.080000,5.210000,5.080000,5.160000,3.957597,283089517
2015-12-16,5.230000,5.280000,5.220000,5.250000,4.026625,271986268
2015-12-17,5.310000,5.370000,5.260000,5.310000,4.072644,235249968
2015-12-18,5.230000,5.360000,5.220000,5.290000,4.057304,275489344
2015-12-21,5.250000,5.380000,5.250000,5.340000,4.095653,196979736
2015-12-22,5.330000,5.380000,5.310000,5.330000,4.087983,173213294
2015-12-23,5.330000,5.410000,5.310000,5.390000,4.134002,164762178
2015-12-24,5.420000,5.450000,5.400000,5.430000,4.164680,137067336
2015-12-28,5.450000,5.450000,5.340000,5.380000,4.126332,125579273
2015-12-29,5.360000,5.400000,5.340000,5.360000,4.110992,114799434
2015-12-30,5.360000,5.390000,5.280000,5.300000,4.064974,156382398
2015-12-31,5.300000,5.360000,5.290000,5.310000,4.072644,82523224
2016-01-04,5.270000,5.280000,5.130000,5.150000,3.949927,277895131
2016-01-05,5.110000,5.190000,5.100000,5.140000,3.942257,207201846
2016-01-06,5.120000,5.150000,5.080000,5.110000,3.919248,254005127
2016-01-07,5.050000,5.080000,4.980000,5.000000,3.834881,497307438
2016-01-08,5.070000,5.090000,5.000000,5.020000,3.850221,290834366
2016-01-11,4.940000,4.960000,4.900000,4.920000,3.773523,319178128
2016-01-12,4.970000,4.980000,4.880000,4.890000,3.750513,256018843
2016-01-13,4.940000,5.010000,4.880000,4.890000,3.750513,261559608
2016-01-14,4.820000,4.870000,4.790000,4.820000,3.696825,343420062
2016-01-15,4.800000,4.840000,4.720000,4.730000,3.627798,368419941
2016-01-18,4.650000,4.710000,4.630000,4.650000,3.566439,309326616
2016-01-19,4.680000,4.770000,4.660000,4.740000,3.635467,277721608
2016-01-20,4.710000,4.710000,4.550000,4.580000,3.512751,401630014
2016-01-21,4.630000,4.640000,4.480000,4.490000,3.443723,398950642
2016-01-22,4.610000,4.630000,4.540000,4.570000,3.505081,366201894
2016-01-25,4.620000,4.660000,4.580000,4.610000,3.535760,227708588
2016-01-26,4.540000,4.560000,4.460000,4.470000,3.428383,300456191
2016-01-27,4.560000,4.580000,4.510000,4.550000,3.489742,312815776
2016-01-28,4.520000,4.630000,4.510000,4.620000,3.543430,316188103
2016-01-29,4.600000,4.770000,4.590000,4.730000,3.627798,343386460
2016-02-01,4.750000,4.780000,4.660000,4.710000,3.612458,197495545
2016-02-02,4.640000,4.690000,4.550000,4.580000,3.512751,315695237
2016-02-03,4.480000,4.530000,4.420000,4.510000,3.459063,298068095
2016-02-04,4.530000,4.640000,4.530000,4.580000,3.512751,215764154
2016-02-05,4.560000,4.650000,4.550000,4.640000,3.558769,187373353
2016-02-11,4.400000,4.510000,4.390000,4.430000,3.397704,258409627
2016-02-12,4.390000,4.420000,4.310000,4.310000,3.305667,328199090
2016-02-15,4.390000,4.560000,4.390000,4.530000,3.474402,246792948
2016-02-16,4.620000,4.680000,4.580000,4.620000,3.543430,269490407
2016-02-17,4.680000,4.720000,4.540000,4.540000,3.482072,260453120
2016-02-18,4.670000,4.700000,4.610000,4.650000,3.566439,235374251
2016-02-19,4.590000,4.640000,4.580000,4.610000,3.535760,150744386
